"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","OS",660,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",690,"days",628,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",720,"days",466,0,0.990693708452846,0.00378414539638047,1.43197563809475e-05,0.983304613357025,0.99813832929887
"Survival","OS",750,"days",465,1,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",780,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",810,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",840,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",870,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",900,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",930,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",960,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",990,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1020,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1050,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1080,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1110,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1140,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1170,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1200,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1230,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1260,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1290,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1320,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1350,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1380,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1410,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1440,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1470,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1500,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1530,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1560,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1590,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1620,"days",50,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","OS",1650,"days",0,0,0.988567756288784,0.00433224397707944,1.87683378769411e-05,0.980113075725134,0.997095368869365
"Survival","PFS",0,"days",718,0,1,0,0,1,1
"Survival","PFS",30,"days",706,8,0.988795518207283,0.00393912739353683,1.55167246225123e-05,0.981105033235892,0.996546285775431
"Survival","PFS",60,"days",680,0,0.988795518207283,0.00393912739353683,1.55167246225123e-05,0.981105033235892,0.996546285775431
"Survival","PFS",90,"days",680,0,0.988795518207283,0.00393912739353683,1.55167246225123e-05,0.981105033235892,0.996546285775431
"Survival","PFS",120,"days",673,3,0.984413815927287,0.0046637942412927,2.1750976725115e-05,0.975315255335622,0.993597255540773
"Survival","PFS",150,"days",673,0,0.984413815927287,0.0046637942412927,2.1750976725115e-05,0.975315255335622,0.993597255540773
"Survival","PFS",180,"days",642,0,0.984413815927287,0.0046637942412927,2.1750976725115e-05,0.975315255335622,0.993597255540773
