"target","type","time","time_scale","n.risk","n.event","survival","se","var","lower_95_CI","upper_95_CI"
"Survival","PFS",960,"years",290,7,0.892033574762485,0.0141918453425348,0.000201408474226427,0.864647269659134,0.920287296827102
"Survival","PFS",990,"years",283,2,0.885806178792349,0.0147601465452101,0.000217861926036077,0.857344121052023,0.915213118186287
"Survival","PFS",1020,"years",230,0,0.885806178792349,0.0147601465452101,0.000217861926036077,0.857344121052023,0.915213118186287
"Survival","PFS",1050,"years",230,0,0.885806178792349,0.0147601465452101,0.000217861926036077,0.857344121052023,0.915213118186287
"Survival","PFS",1080,"years",221,4,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1110,"years",221,0,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1140,"years",221,0,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1170,"years",221,0,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1200,"years",221,0,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1230,"years",221,0,0.870213217963679,0.0164310428498555,0.000269979169133788,0.838597578824006,0.903020785941986
"Survival","PFS",1260,"years",217,1,0.866221414211552,0.016833578944947,0.000283369380095763,0.833848637142028,0.899851010143051
"Survival","PFS",1290,"years",163,0,0.866221414211552,0.016833578944947,0.000283369380095763,0.833848637142028,0.899851010143051
"Survival","PFS",1320,"years",112,0,0.866221414211552,0.016833578944947,0.000283369380095763,0.833848637142028,0.899851010143051
"Survival","PFS",1350,"years",101,1,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1380,"years",54,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1410,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1440,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1470,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1500,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1530,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1560,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1590,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1620,"years",44,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
"Survival","PFS",1650,"years",0,0,0.85827442876007,0.0184599287791885,0.000340768970532711,0.822845634946495,0.895228659882632
