"time","surv_median","surv_mean","surv_lcl","surv_ucl","arm","outcome","n_sim"
2400,0.875583333333334,0.874432933333333,0.824086666666667,0.913303333333333,"Blina + BSC","PFS",500
2430,0.8751,0.873840066666667,0.82359,0.912868333333333,"Blina + BSC","PFS",500
2460,0.87455,0.873260866666667,0.823115833333333,0.912219166666667,"Blina + BSC","PFS",500
2490,0.873983333333334,0.8726866,0.822555833333333,0.911859166666667,"Blina + BSC","PFS",500
2520,0.873433333333334,0.872123333333333,0.821989166666667,0.9114275,"Blina + BSC","PFS",500
2550,0.873033333333333,0.8715644,0.821430833333333,0.911059166666667,"Blina + BSC","PFS",500
2580,0.872483333333333,0.871019866666667,0.820874166666667,0.910671666666667,"Blina + BSC","PFS",500
2610,0.872033333333333,0.870482466666667,0.820333333333333,0.91027,"Blina + BSC","PFS",500
2640,0.87135,0.869937266666667,0.819526666666667,0.909771666666667,"Blina + BSC","PFS",500
2670,0.87075,0.8694126,0.818934166666667,0.909336666666667,"Blina + BSC","PFS",500
2700,0.870066666666667,0.868890466666667,0.818371666666666,0.909038333333333,"Blina + BSC","PFS",500
2730,0.869683333333333,0.868386466666667,0.817710833333333,0.908676666666667,"Blina + BSC","PFS",500
2760,0.86915,0.867882733333333,0.817234166666667,0.908290833333333,"Blina + BSC","PFS",500
2790,0.8685,0.867396066666667,0.816790833333333,0.907925833333333,"Blina + BSC","PFS",500
2820,0.868066666666667,0.866901133333333,0.816220833333333,0.9076275,"Blina + BSC","PFS",500
2850,0.867533333333333,0.866417466666667,0.815766666666667,0.907325833333333,"Blina + BSC","PFS",500
2880,0.86695,0.8659412,0.815261666666667,0.906905,"Blina + BSC","PFS",500
2910,0.866566666666667,0.8654748,0.814670833333333,0.906538333333333,"Blina + BSC","PFS",500
2940,0.866166666666667,0.865007733333333,0.813974166666666,0.906390833333333,"Blina + BSC","PFS",500
2970,0.8657,0.864553533333333,0.81327,0.906141666666667,"Blina + BSC","PFS",500
3000,0.865316666666667,0.864108333333333,0.8126175,0.9058925,"Blina + BSC","PFS",500
3030,0.864966666666667,0.863667666666667,0.811803333333333,0.905571666666667,"Blina + BSC","PFS",500
3060,0.8645,0.863233533333333,0.8110625,0.905235,"Blina + BSC","PFS",500
3090,0.86405,0.8627976,0.810493333333333,0.904920833333333,"Blina + BSC","PFS",500
3120,0.8636,0.8623742,0.80967,0.904738333333333,"Blina + BSC","PFS",500
3150,0.863116666666666,0.861962666666667,0.809091666666667,0.904624166666666,"Blina + BSC","PFS",500
3180,0.862683333333333,0.861553466666667,0.808680833333333,0.904159166666667,"Blina + BSC","PFS",500
3210,0.8623,0.8611572,0.808135833333333,0.903730833333333,"Blina + BSC","PFS",500
3240,0.861816666666666,0.8607578,0.807794166666666,0.903616666666667,"Blina + BSC","PFS",500
3270,0.861383333333333,0.860355666666667,0.807435,0.903315,"Blina + BSC","PFS",500
3300,0.861,0.859965066666667,0.8069075,0.903088333333333,"Blina + BSC","PFS",500
3330,0.860633333333334,0.859584733333333,0.806534166666666,0.90289,"Blina + BSC","PFS",500
3360,0.8603,0.8592034,0.8060925,0.902788333333334,"Blina + BSC","PFS",500
3390,0.860033333333334,0.8588254,0.805649166666666,0.902585,"Blina + BSC","PFS",500
3420,0.859716666666667,0.8584598,0.8052375,0.902448333333334,"Blina + BSC","PFS",500
3450,0.859383333333334,0.858092733333333,0.804875,0.902364166666667,"Blina + BSC","PFS",500
3480,0.858850000000001,0.8577312,0.804365,0.902213333333334,"Blina + BSC","PFS",500
3510,0.858450000000001,0.857374466666667,0.804063333333333,0.901975,"Blina + BSC","PFS",500
3540,0.858133333333333,0.857020333333333,0.803865,0.901835,"Blina + BSC","PFS",500
3570,0.857916666666667,0.856678266666667,0.803649166666667,0.901655833333333,"Blina + BSC","PFS",500
3600,0.857716666666666,0.8563378,0.803436666666667,0.901573333333333,"Blina + BSC","PFS",500
3630,0.857316666666667,0.8560016,0.803045,0.901524166666666,"Blina + BSC","PFS",500
3660,0.85695,0.855676066666667,0.802695833333333,0.901506666666666,"Blina + BSC","PFS",500
3690,0.8566,0.8553468,0.802434166666667,0.901489166666666,"Blina + BSC","PFS",500
3720,0.85645,0.855021933333333,0.802091666666667,0.90144,"Blina + BSC","PFS",500
3750,0.85595,0.854706466666667,0.801671666666667,0.901285833333333,"Blina + BSC","PFS",500
3780,0.8555,0.8543844,0.801325833333333,0.901184166666666,"Blina + BSC","PFS",500
