"WTP","Strategy","Proportion","On_Frontier","discount","scenario"
95000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
95000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
100000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
100000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
105000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
105000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
110000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
110000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
115000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
115000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
120000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
120000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
125000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
125000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
130000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
130000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
135000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
135000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
140000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
140000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
145000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
145000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
150000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
150000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
155000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
155000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
160000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
160000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
165000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
165000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
170000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
170000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
175000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
175000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
180000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
180000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
185000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
185000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
190000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
190000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
195000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
195000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
200000,"Blinatumomab and chemotherapy",1,TRUE,"undiscounted","base_case"
200000,"Chemotherapy only",0,FALSE,"undiscounted","base_case"
0,"Blinatumomab and chemotherapy",0,FALSE,"discounted","blina_cost_low"
0,"Chemotherapy only",1,TRUE,"discounted","blina_cost_low"
5000,"Blinatumomab and chemotherapy",0.00205761316872428,FALSE,"discounted","blina_cost_low"
5000,"Chemotherapy only",0.997942386831276,TRUE,"discounted","blina_cost_low"
10000,"Blinatumomab and chemotherapy",0.0246913580246914,FALSE,"discounted","blina_cost_low"
10000,"Chemotherapy only",0.975308641975309,TRUE,"discounted","blina_cost_low"
15000,"Blinatumomab and chemotherapy",0.0781893004115226,FALSE,"discounted","blina_cost_low"
15000,"Chemotherapy only",0.921810699588477,TRUE,"discounted","blina_cost_low"
20000,"Blinatumomab and chemotherapy",0.209876543209877,FALSE,"discounted","blina_cost_low"
20000,"Chemotherapy only",0.790123456790123,TRUE,"discounted","blina_cost_low"
25000,"Blinatumomab and chemotherapy",0.372427983539095,FALSE,"discounted","blina_cost_low"
25000,"Chemotherapy only",0.627572016460905,TRUE,"discounted","blina_cost_low"
30000,"Blinatumomab and chemotherapy",0.516460905349794,TRUE,"discounted","blina_cost_low"
30000,"Chemotherapy only",0.483539094650206,FALSE,"discounted","blina_cost_low"
35000,"Blinatumomab and chemotherapy",0.656378600823045,TRUE,"discounted","blina_cost_low"
35000,"Chemotherapy only",0.343621399176955,FALSE,"discounted","blina_cost_low"
40000,"Blinatumomab and chemotherapy",0.769547325102881,TRUE,"discounted","blina_cost_low"
40000,"Chemotherapy only",0.230452674897119,FALSE,"discounted","blina_cost_low"
45000,"Blinatumomab and chemotherapy",0.843621399176955,TRUE,"discounted","blina_cost_low"
45000,"Chemotherapy only",0.156378600823045,FALSE,"discounted","blina_cost_low"
50000,"Blinatumomab and chemotherapy",0.886831275720165,TRUE,"discounted","blina_cost_low"
50000,"Chemotherapy only",0.113168724279835,FALSE,"discounted","blina_cost_low"
55000,"Blinatumomab and chemotherapy",0.915637860082305,TRUE,"discounted","blina_cost_low"
55000,"Chemotherapy only",0.0843621399176955,FALSE,"discounted","blina_cost_low"
60000,"Blinatumomab and chemotherapy",0.925925925925926,TRUE,"discounted","blina_cost_low"
60000,"Chemotherapy only",0.0740740740740741,FALSE,"discounted","blina_cost_low"
65000,"Blinatumomab and chemotherapy",0.954732510288066,TRUE,"discounted","blina_cost_low"
65000,"Chemotherapy only",0.0452674897119342,FALSE,"discounted","blina_cost_low"
70000,"Blinatumomab and chemotherapy",0.97119341563786,TRUE,"discounted","blina_cost_low"
70000,"Chemotherapy only",0.0288065843621399,FALSE,"discounted","blina_cost_low"
75000,"Blinatumomab and chemotherapy",0.979423868312757,TRUE,"discounted","blina_cost_low"
