"","Favorable:(Intercept)","Favorable:age_Dx","Favorable:sexM","Favorable:SES2","Favorable:SES3","Favorable:SES4","Favorable:SES5","Favorable:ruralY","Favorable:distanceshort","Favorable:dxyear2003","Favorable:dxyear2004","Favorable:dxyear2005","Favorable:dxyear2006","Favorable:dxyear2007","Favorable:dxyear2008","Favorable:dxyear2009","Favorable:dxyear2010","Favorable:dxyear2011","Favorable:dxyear2012","Favorable:lineageT","Favorable:protocolDFCI","Neutral:(Intercept)","Neutral:age_Dx","Neutral:sexM","Neutral:SES2","Neutral:SES3","Neutral:SES4","Neutral:SES5","Neutral:ruralY","Neutral:distanceshort","Neutral:dxyear2003","Neutral:dxyear2004","Neutral:dxyear2005","Neutral:dxyear2006","Neutral:dxyear2007","Neutral:dxyear2008","Neutral:dxyear2009","Neutral:dxyear2010","Neutral:dxyear2011","Neutral:dxyear2012","Neutral:lineageT","Neutral:protocolDFCI","Unfavorable:(Intercept)","Unfavorable:age_Dx","Unfavorable:sexM","Unfavorable:SES2","Unfavorable:SES3","Unfavorable:SES4","Unfavorable:SES5","Unfavorable:ruralY","Unfavorable:distanceshort","Unfavorable:dxyear2003","Unfavorable:dxyear2004","Unfavorable:dxyear2005","Unfavorable:dxyear2006","Unfavorable:dxyear2007","Unfavorable:dxyear2008","Unfavorable:dxyear2009","Unfavorable:dxyear2010","Unfavorable:dxyear2011","Unfavorable:dxyear2012","Unfavorable:lineageT","Unfavorable:protocolDFCI"
"Favorable:dxyear2004",-0.115629690534155,-0.0088794992497891,-0.0274697525207488,0.0283104686343452,0.0310337364251866,0.061500267617236,0.0738330759781333,0.0249355354607748,-0.0208548544548815,0.198177606053218,0.829500789586196,0.199630228858549,0.1341792214493,0.200462288651412,0.134708174602667,0.125574357306763,0.0672250517237612,0.138266874001723,0.13913461854494,0.00382266933971907,0.00590587009505356,0.046250030172554,-0.00890945796715694,-0.0291291142789828,0.0286670610950168,0.0291935493935229,0.0609256965631746,0.0731581619006072,0.0238605418402906,-0.0199570009852156,0.0375899736083452,0.612303088449438,0.0392719291155892,-0.0274115437853682,0.0399554848161447,-0.0268456144408405,-0.0345750125421447,-0.0934111740286216,-0.0214540024174986,-0.0211654268437335,-0.00127882601168487,0.0042655264135143,0.338659912604609,-0.00902512190020673,-0.03022416239144,0.0230106810790298,0.0202228716247681,0.0567483416958542,0.0604554735029373,0.0168410441995463,-0.0240827719562246,-0.235767579661189,0.273861791195637,-0.23890215797416,-0.314163801657086,-0.240417773467546,-0.309403630277745,-0.317897630601048,-0.376509054534812,-0.339507604480186,-0.303124792094917,-0.00254384333083452,-0.0101713965083066
"Favorable:dxyear2005",-0.200832423608754,0.0000677562944103755,0.000595265546029873,-0.00239467837186904,-0.000349603208248213,-0.000463257929300529,0.00168134427356322,0.00252770609181859,-0.00066470102305166,0.198607709301668,0.199630228858533,0.23909714664739,0.200164621035093,0.200850628695003,0.20028342798173,0.200599881778593,0.200202730335611,0.200610706184073,0.200492094239374,0.00282195955934526,0.00468153172623643,-0.0390873133049341,-0.0000297512903060379,-0.000581990359135417,0.00239511857728304,0.000289414400445769,0.000018802108182426,-0.000473504643356342,-0.00125408182088889,0.000875873165792497,0.0371735711276467,0.0392272888454192,0.0409101293912782,0.0388723731122795,0.0389224000638376,0.0387333166017203,0.0389218219513491,0.0388122610745998,0.038705493319858,0.0387711451558553,-0.00110740946354241,0.00210312820882831,0.24259694696059,-0.0000684370419121537,-0.000682150383639414,0.00524247861912704,0.000757165129070453,0.000295046130346322,-0.00888736342958154,-0.00835175139125919,-0.0000531922038020621,-0.235781280429477,-0.237378418837535,-0.280007276038673,-0.239152538327721,-0.239773028758835,-0.238699045003438,-0.23915700580344,-0.238875728349385,-0.238788665272314,-0.239294116494746,-0.00171455009581866,-0.0067846599349076
"Favorable:dxyear2006",-0.117582979114183,-0.00263216306374031,-0.0191514320195319,-0.000357445505828816,0.0289218036000243,0.0305351833783929,0.0196303746872141,-0.0141592598112992,-0.0852320612071865,0.198074832701944,0.134179221449287,0.200164621035101,0.706129981913249,0.201904233634212,0.163192764887901,0.152514889273896,0.0768925280468847,0.165369508110695,0.15006525543645,0.00151665209826657,0.00949262819542435,0.047484991333516,-0.00273214655484874,-0.0206194742302484,-0.00157497442581488,0.0253719241137101,0.0289404813648658,0.0156697921179255,-0.0142596421669292,-0.0822888078122338,0.0375402159049248,-0.0269993623785262,0.0388375161804326,0.520655620168937,0.0388766420165542,-0.00145142185827885,-0.0106177868353032,-0.08563448242121,0.00341982648690374,-0.0124859209506085,-0.00113264763617851,0.00179963662368122,0.338976831298463,-0.0031686481826781,-0.022177692352215,-0.0046608410932164,0.0197181953958722,0.0280577992568924,0.00673251073200943,-0.0210313993702537,-0.0866597358880758,-0.235615048607376,-0.338297908085844,-0.239002137215556,0.227608860984555,-0.24078087565075,-0.283766086288152,-0.294408667668992,-0.368817928248035,-0.314536347146972,-0.294128788906128,-0.000384004463032596,-0.011292264818963
"Favorable:dxyear2007",-0.202387635862797,0.0000583221653020697,0.000573100322039164,-0.000579783978807875,0.000324071117818623,-0.000853514972392012,0.00153414418210787,0.00287809622907334,-0.00167208361804722,0.197588592856076,0.20046228865138,0.20085062869499,0.201904233634193,0.245746050274341,0.20227770809472,0.202222196536153,0.201883039051858,0.201841695185683,0.201843887882405,0.00035078455412182,0.0108857607418749,-0.0385017254681538,-0.0000411138804113636,-0.000612433619564077,0.00069600666613924,0.0000416956236373952,-0.00007002587669793,-0.000855711705792074,-0.00162870484180829,0.00139843034088997,0.0373780347908714,0.04019777826083,0.0388453114839073,0.0391697935766918,0.0532003726706187,0.0386013544617764,0.0389661866779472,0.0390107595124514,0.0388913971564486,0.0387468503121158,-0.000907419669199521,0.0026946263375795,0.2446538532943,-0.000230693484338413,0.000244332815164032,-0.000177864574579967,-0.00297694019091642,0.000831848254290717,-0.0074912865803951,-0.00900608684388851,0.00291441451752224,-0.234966627647111,-0.236727320149298,-0.239695940178903,-0.241057694477059,-0.298946422944954,-0.241254555182025,-0.241146534171769,-0.240829376677682,-0.24045669811149,-0.240777781008662,0.000556635115070447,-0.0135803870792951
"Favorable:dxyear2008",-0.140147679817065,-0.000527343830784822,-0.00809479758978885,-0.0387845915260276,-0.0120504835103617,-0.0349073383651006,-0.0686508653887107,-0.0513107297303271,-0.0628068953109643,0.197956819562724,0.134708174602639,0.200283427981727,0.163192764887888,0.202277708094731,0.57454713425661,0.196707268293934,0.102356821199231,0.198456232149455,0.160532923967652,0.000774447115539383,0.0102559169448697,0.0251453938974906,-0.000733634449145161,-0.0099334215983239,-0.0397248991297564,-0.0142645501498139,-0.0350496206963076,-0.0710521166022458,-0.0516612084257426,-0.0595285866861548,0.0375846966994281,-0.0266438935150321,0.0389151632141107,-0.00106249636833022,0.0388377774771334,0.385146306428091,0.0330546409837375,-0.060772608789209,0.0362224008419082,-0.00250937377531707,-0.00129151867382808,0.00131125437935409,0.317783460863928,-0.00134152565235314,-0.0115004833759579,-0.0432538338413143,-0.0196066211517681,-0.0349553480293982,-0.0813813002286173,-0.0578931919964383,-0.063626804084362,-0.235541516263491,-0.3386509838213,-0.239198591195862,-0.288571774642859,-0.241115485571851,0.0991062972407991,-0.251603211197551,-0.344399568243901,-0.282290444169612,-0.284739935034636,0.000517071559786626,-0.0115671713240754
"Favorable:dxyear2009",-0.212430740400302,0.00386775864986175,-0.00757554285000227,-0.104871460955959,-0.0568473134952582,-0.117610349085214,-0.0913219522102576,-0.0577241299058854,0.0162778245812681,0.198419069031049,0.125574357306696,0.200599881778566,0.152514889273851,0.202222196536138,0.1967072682939,0.533755024168669,0.106365634104188,0.200205588430136,0.148014336904967,0.00159121379223611,0.00931749190625045,-0.0484244210361546,0.00339966396451959,-0.00838625174566206,-0.100840752086824,-0.0551022809845451,-0.113343304430127,-0.0903544846604408,-0.0606881388358422,0.0183127711467503,0.03739575981908,-0.0362678427990609,0.0386296673929393,-0.0118625828404064,0.0388435104146716,0.0314777964080261,0.338895679721599,-0.0573200586597335,0.0370502626067195,-0.0155446340487455,-0.0013547638810472,0.00188938515730372,0.241633076851978,0.00289794563621133,-0.00957343827637997,-0.102220585753419,-0.0592116118450835,-0.112364794654672,-0.0974418075540602,-0.0684482075583538,0.0149676356461871,-0.235814828851067,-0.348815083996684,-0.23922954917152,-0.299209229854049,-0.241065706950804,-0.251296221905599,0.0508195568721938,-0.340798464090438,-0.281639148294545,-0.297844017420481,-0.000236449907964269,-0.0112068770634147
"Favorable:dxyear2010",-0.0468153117036041,-0.00444039342939446,-0.00767405938284131,-0.0154322120297823,-0.0381491001006,-0.0653081094436516,-0.0345356188086797,-0.0197444453302745,-0.040119443446071,0.198066958401523,0.067225051723808,0.20020273033566,0.0768925280469373,0.201883039051931,0.102356821199301,0.1063656341043,1.07185369242905,0.109157490593941,0.0807290937751171,0.00203461813654399,0.00907173050050479,0.117003087478509,-0.00472290249113898,-0.00927375074909174,-0.013902985043925,-0.0376283896328258,-0.0631389678948968,-0.0338733865347498,-0.0227440485836597,-0.037866028836597,0.0376677734785378,-0.0936359477529795,0.0388028716698858,-0.0865498418328174,0.0389789870276071,-0.0617066655702066,-0.0565644151453977,0.891007594475244,-0.0525280028529988,-0.0818594225762125,-0.00142438664448862,0.00211193368588612,0.407940810511213,-0.00520310428512317,-0.0109117058131378,-0.0164158516209356,-0.0431899112056888,-0.0635587765256419,-0.0419370997248178,-0.0290602269675777,-0.0411396407091489,-0.235734731880396,-0.404830854822935,-0.239005602005529,-0.373397486660155,-0.240862026079505,-0.344258354287011,-0.340556740243704,0.602643517495869,-0.370589071196269,-0.363621644297974,-0.000610231491489929,-0.0111836641863418
"Favorable:dxyear2011",-0.0836114998253217,-0.0019690441997487,-0.021769867417914,-0.0697354443300059,-0.0577467103476271,-0.0588934771138737,-0.0858395316896952,-0.0861858939825294,-0.0860102584967157,0.198784691574225,0.138266874001712,0.200610706184082,0.165369508110694,0.201841695185706,0.198456232149466,0.200205588430179,0.109157490593894,0.611818864828354,0.168324117909709,0.00153378259536249,0.00871440387076209,0.0827072616857938,-0.00255574182751498,-0.0237314315138612,-0.0647388728363984,-0.0570940582945278,-0.0564749219897082,-0.0871760783319548,-0.0893035124447299,-0.0849523593856744,0.0371169456442297,-0.0233968564299764,0.0382795192761918,0.0014427859350496,0.0388834502334507,0.0342478801900439,0.0362129786535219,-0.0540367522073795,0.415264180710923,0.00529679811004753,-0.0000653066902043306,0.00338616103031335,0.370063726126856,-0.00249139968378201,-0.0243741688536047,-0.0708362450027588,-0.0651000826259718,-0.059766586838861,-0.0958587033250586,-0.0940307771207056,-0.0869416462358664,-0.235901637220144,-0.335099605406965,-0.238890225460311,-0.28500428528547,-0.240725145419132,-0.247931426165235,-0.246820131045366,-0.336802643289481,0.0903958187912319,-0.276202175078058,-0.00146847590265211,-0.0121005649009247
"Favorable:dxyear2012",-0.0938144461489855,-0.00475110172594711,-0.0112568102006155,0.0280072017046008,-0.0221968185746296,0.0422438814852652,0.0290069575618146,-0.0428224596117345,-0.0920652043424714,0.198070373712861,0.139134618544936,0.200492094239381,0.150065255436455,0.201843887882427,0.160532923967669,0.148014336905014,0.0807290937750656,0.168324117909712,0.727679950644267,0.000664312385721127,0.00853876785069089,0.0701639415485237,-0.00502473343521493,-0.012765422708597,0.0311097463003311,-0.0197643310438788,0.0452473947075616,0.0285145747694685,-0.0462997938139497,-0.0911280114545528,0.0376715003135269,-0.021774170768122,0.038743165327867,-0.0134006334054739,0.0389221013593967,-0.00375614779461128,-0.0152638115997043,-0.0821487535132124,0.00642426540050584,0.538760046103665,-0.00130183911213134,0.00188624418237488,0.362496275752884,-0.00561459062167682,-0.0138652121751924,0.0301910213900675,-0.0230717771711805,0.0466484606464789,0.0216053607733477,-0.0545297171160255,-0.0972373734523304,-0.235741874027003,-0.332465053418788,-0.239235259567284,-0.299946521285164,-0.240765989241803,-0.286042512296881,-0.2994636897318,-0.365322693422354,-0.311488741283276,0.250259216332566,0.000637526726856348,-0.0104250120329211
"Favorable:lineageT",-0.00187795891588916,-0.000250124398927734,-0.00183391422057427,0.0000942479320508922,0.000349785075792833,0.000156926785280026,-0.000509564429764989,0.00239711126971745,0.000618648883467993,0.00285748821888755,0.00382266933971063,0.00282195955933551,0.00151665209825979,0.000350784554111937,0.000774447115533913,0.00159121379222826,0.00203461813654055,0.00153378259536164,0.000664312385715574,0.150334306708239,0.00195598028459797,0.0044043520926277,-0.000176263305544641,0.00159642661866334,0.00125427827779873,0.000672063837204598,-0.000251739066031518,0.000608733534838016,-0.00143692174368622,-0.000487053685515855,-0.00345242494138411,-0.00255864906636172,-0.00280472946999359,0.000115577207532163,-0.00122539592943349,-0.0018018859028611,-0.00381828390648588,-0.00217302182601892,-0.00180643440174061,-0.00353180309630646,-0.0300593158264985,0.000156001699589242,0.00470152397822879,0.00065490982371819,0.00345102903310084,0.0000140753884010692,-0.00212333189907054,-0.00227735464819436,-0.00100072573623292,-0.00983893266612221,-0.00333026957693362,0.000594936722477246,-0.00447702225783276,-0.0000172300893422627,0.00163609304086352,0.000874611375321846,0.00435366361235021,0.00259353398840732,-0.000439212527698419,0.00324818060379395,0.00394948518280974,-0.120274990881748,-0.00211198198418775
