"","(Intercept)","age_Dx","sexM","SES2","SES3","SES4","SES5","ruralY","distanceshort","dxyear2003","dxyear2004","dxyear2005","dxyear2006","dxyear2007","dxyear2008","dxyear2009","dxyear2010","dxyear2011","dxyear2012","lineageT"
"dxyear2004",-0.185474529852476,-0.000237270775778619,-0.0026838165520817,0.00362382194963749,0.000783926321860212,-0.00238629099241559,-0.00145598474798216,0.00618829950509139,0.00386301037138611,0.183879806308647,0.300507535042133,0.183710070988389,0.183689098174879,0.183771704751172,0.183696584790701,0.183867095226275,0.184117104961331,0.183258643284932,0.183646484617393,0.0112299581837864
"dxyear2005",-0.181831544945911,0.0000296375179339797,-0.00111361488445276,-0.00585842697810618,-0.00640585335703875,-0.00500861877480322,0.00196926996077604,0.0107352841420898,-0.000024562114813222,0.183038076446009,0.183710070988389,0.259545734616498,0.183878469284096,0.185055037707087,0.184087056572549,0.184451216757008,0.184920937021981,0.184400660858824,0.184930761857335,0.00490498688625751
"dxyear2006",-0.185132322848692,0.000729126223785953,-0.00121863673006279,0.00589092264277805,-0.000210660914066306,-0.00433786266177601,0.00233810555072295,0.000326388448036001,-0.00458150660399379,0.182168738897444,0.183689098174879,0.183878469284096,0.269357312432361,0.185463499790874,0.186073431540901,0.185979066905325,0.186294141482327,0.18527280857376,0.185035416648764,0.00299069047618345
"dxyear2007",-0.18046929474481,0.00045041414787304,-0.0021180672140819,0.00296689762907972,-0.00561888945768041,-0.00583188324301689,0.00100491333085655,0.0098913011633319,-0.00606415577138867,0.181439157089029,0.183771704751172,0.185055037707087,0.185463499790874,0.301504283797929,0.186134316402097,0.1862609807959,0.18707228821797,0.185730318258567,0.18607714388183,0.000733214359167117
"dxyear2008",-0.183573465003251,0.000876426270977727,0.0009298910028954,0.00476946674668649,-0.0051651544114957,-0.00873885289008549,-0.00296670697669835,0.0024449323447171,-0.0055390575807766,0.181913567102428,0.183696584790701,0.184087056572549,0.186073431540901,0.186134316402097,0.345231217392348,0.186915029332186,0.187730834700109,0.186133580694255,0.185780318280398,0.00204239023923596
"dxyear2009",-0.180742241167763,0.000913818732288328,-0.0027068487897094,-0.0000848347687517115,-0.00691799081873979,-0.0123806893421528,-0.00582090821984943,0.0047984282345651,-0.00409952027736044,0.182427448983648,0.183867095226275,0.184451216757008,0.185979066905325,0.1862609807959,0.186915029332186,0.303139848867124,0.187763985804242,0.186305095580068,0.185993553175549,0.000972960920476028
"dxyear2010",-0.181353928822961,0.000941453497936497,-0.000787517585681444,0.00203389123208062,-0.0107801675478885,-0.0118198509681404,-0.00707300935395705,0.00876758014637161,-0.00508640155434073,0.181470601955432,0.184117104961331,0.184920937021981,0.186294141482327,0.18707228821797,0.187730834700109,0.187763985804242,0.25101566135691,0.186756602790393,0.186777366333641,0.00452733553224889
"dxyear2011",-0.181302156449931,0.000726055008296211,0.000182620039383711,-0.00151691953018464,-0.00587236315042243,-0.00920734024503646,-0.00342279673629979,0.00500690758127801,-0.00455703217921343,0.182407593477986,0.183258643284932,0.184400660858824,0.18527280857376,0.185730318258567,0.186133580694255,0.186305095580068,0.186756602790393,0.274843683440505,0.185465870116537,-0.00246030705520775
"dxyear2012",-0.181597819223375,0.000501867410091074,-0.0021686678237747,0.000604864780676318,-0.00934640085437867,-0.00732362219438493,-0.00138327802532666,0.00757388413080953,-0.00190567499172647,0.181639076743583,0.183646484617393,0.184930761857335,0.185035416648764,0.18607714388183,0.185780318280398,0.185993553175549,0.186777366333641,0.185465870116537,0.267550382497851,-0.000841320696638805
"lineageT",-0.0024813407967843,-0.00144101343241877,-0.00731115175247078,-0.00309775565464597,0.000859762168741722,-0.00112650868345306,-0.00176124533164778,0.00947935068764729,0.00154553513542364,0.00707187876236103,0.0112299581837864,0.00490498688625751,0.00299069047618345,0.000733214359167117,0.00204239023923596,0.000972960920476028,0.00452733553224889,-0.00246030705520775,-0.000841320696638805,0.165324777893685
